City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,39.02,91,99,3.02,GS,1685673414
1,aripuana,-9.1667,-60.6333,71.92,99,100,2.06,BR,1685673414
2,morris,40.8334,-74.5329,68.85,74,0,0.0,US,1685673414
3,jamestown,42.097,-79.2353,74.84,46,0,8.05,US,1685673238
4,malindi,-3.2175,40.1191,76.06,86,6,8.59,KE,1685673209
5,robore,-18.3333,-59.75,66.43,92,0,2.06,BO,1685673415
6,zaidpur,26.8333,81.3333,80.67,24,15,9.15,IN,1685673415
7,pangoa,-12.1167,-73.0,68.43,90,27,1.68,PE,1685673416
8,warrnambool,-38.3833,142.4833,55.99,54,99,6.98,AU,1685673201
9,vorgashor,67.5833,63.95,56.48,73,36,10.42,RU,1685673416
10,edinburgh of the seven seas,-37.0676,-12.3116,53.35,60,100,18.77,SH,1685673416
11,okhotsk,59.3833,143.3,50.68,72,94,6.11,RU,1685673417
12,adamstown,-25.066,-130.1015,75.7,85,100,21.23,PN,1685673417
13,nova sintra,14.8667,-24.7167,68.14,79,4,17.47,CV,1685673417
14,waitangi,-43.9535,-176.5597,59.83,91,35,7.0,NZ,1685673417
15,tazovsky,67.4667,78.7,60.06,83,99,17.34,RU,1685673150
16,badger,64.8,-147.5333,50.25,65,100,3.44,US,1685673418
17,minot,48.2325,-101.2963,78.91,69,0,5.75,US,1685673311
18,bredasdorp,-34.5322,20.0403,55.85,97,75,4.38,ZA,1685673419
19,necochea,-38.5473,-58.7368,52.48,75,76,10.56,AR,1685673419
20,talnakh,69.4865,88.3972,45.21,94,100,15.77,RU,1685673419
21,puerto natales,-51.7236,-72.4875,35.01,87,100,3.18,CL,1685673419
22,tiksi,71.6872,128.8694,47.3,55,100,8.14,RU,1685673420
23,utrik,11.2278,169.8474,81.63,80,100,15.46,MH,1685673420
24,port-aux-francais,-49.35,70.2167,38.53,77,100,27.02,TF,1685673420
25,petropavlovsk-kamchatsky,53.0452,158.6483,48.79,66,75,8.95,RU,1685673420
26,bilibino,68.0546,166.4372,46.15,32,95,14.63,RU,1685673421
27,anadyr,64.75,177.4833,50.5,43,0,11.18,RU,1685673421
28,new norfolk,-42.7826,147.0587,56.88,61,29,4.0,AU,1685673422
29,altagracia de orituco,9.8601,-66.3814,75.27,84,57,3.4,VE,1685673422
30,hamilton,39.1834,-84.5333,74.03,56,0,0.0,US,1685673398
31,usinsk,65.9939,57.5281,57.07,65,3,15.99,RU,1685673423
32,babruysk,53.15,29.2333,54.0,92,32,8.55,BY,1685673423
33,dryden,49.7833,-92.7503,64.69,88,100,10.36,CA,1685673424
34,iquique,-20.2208,-70.1431,66.24,77,31,1.52,CL,1685673368
35,upata,8.0086,-62.3989,75.2,93,9,5.08,VE,1685673424
36,myeik,12.4333,98.6,86.56,68,86,9.53,MM,1685673425
37,sao vicente,-23.9631,-46.3919,69.98,26,22,2.75,BR,1685673425
38,blackmans bay,-43.0167,147.3167,55.69,67,14,2.1,AU,1685673425
39,rio grande,-32.035,-52.0986,62.46,90,0,5.41,BR,1685673426
40,holualoa,19.6228,-155.9522,76.84,88,100,9.22,US,1685673426
41,kantunilkin,21.0917,-87.45,73.72,93,0,2.28,MX,1685673426
42,brisas de zicatela,15.8369,-97.0419,86.52,66,40,5.75,MX,1685673426
43,gazi,35.3253,25.0669,62.94,96,75,11.5,GR,1685673427
44,port douglas,-16.4833,145.4667,77.4,62,93,11.25,AU,1685673427
45,iskateley,67.6803,53.1512,54.5,67,49,9.75,RU,1685673433
46,albany,42.6001,-73.9662,74.57,66,1,1.99,US,1685673267
47,jambi city,-1.6,103.6167,85.41,68,38,4.45,ID,1685673433
48,cabo san lucas,22.8909,-109.9124,78.1,64,20,10.36,MX,1685673156
49,port moresby,-9.4431,147.1797,87.22,66,40,13.8,PG,1685673434
50,sarupathar,26.1984,93.8094,96.28,38,25,1.72,IN,1685673434
51,lebu,-37.6167,-73.65,55.74,92,92,10.78,CL,1685673435
52,tanjung pandan,-2.75,107.65,88.39,58,84,10.47,ID,1685673435
53,fale old settlement,-9.3852,-171.2468,84.24,75,78,8.77,TK,1685673435
54,revda,56.801,59.9303,64.78,71,100,5.55,RU,1685673396
55,east london,-33.0153,27.9116,60.08,54,98,5.75,ZA,1685673213
56,laojunmiao,39.8333,97.7333,63.05,20,26,13.49,CN,1685673436
57,afaahiti,-17.75,-149.2833,76.87,67,9,12.08,PF,1685673436
58,young,-32.6833,-57.6333,58.89,91,30,8.25,UY,1685673437
59,west island,-12.1568,96.8225,82.38,78,40,16.11,CC,1685673438
60,yellowknife,62.456,-114.3525,68.52,19,40,9.22,CA,1685673438
61,wailua homesteads,22.0669,-159.378,79.23,83,75,11.5,US,1685673438
62,kapuskasing,49.4169,-82.4331,68.0,68,100,4.61,CA,1685673438
63,papatowai,-46.5619,169.4708,49.62,83,99,20.31,NZ,1685673439
64,hermanus,-34.4187,19.2345,60.8,89,84,8.41,ZA,1685673439
65,urazovo,50.0836,38.0395,56.14,75,0,3.02,RU,1685673439
66,kuusamo,65.9667,29.1833,33.84,93,100,11.5,FI,1685673440
67,port mathurin,-19.6833,63.4167,75.63,64,28,22.91,MU,1685673440
68,ushuaia,-54.8,-68.3,49.66,50,0,21.85,AR,1685673440
69,isafjordur,66.0755,-23.124,50.31,87,94,14.76,IS,1685673441
70,saipan,15.1355,145.701,88.5,100,40,24.16,MP,1685673441
71,yuzhno-kurilsk,44.0306,145.8556,57.15,77,94,11.68,RU,1685673441
72,naze,28.3667,129.4833,76.12,93,100,22.91,JP,1685673442
73,kainantu,-6.2887,145.8655,69.49,84,100,3.94,PG,1685673442
74,muang phon-hong,18.4928,102.4172,91.69,57,28,1.36,LA,1685673443
75,walvis bay,-22.9575,14.5053,54.09,93,0,1.14,NA,1685673443
76,haiku-pauwela,20.9219,-156.3051,80.62,68,40,21.85,US,1685673443
77,flying fish cove,-10.4217,105.6791,80.28,89,100,10.36,CX,1685673444
78,esquina,-30.0144,-59.5272,64.92,75,2,6.29,AR,1685673444
79,stanley,54.868,-1.6985,47.71,81,75,5.75,GB,1685673444
80,mount isa,-20.7333,139.5,82.17,32,5,4.61,AU,1685673445
81,choibalsan,48.0667,114.5,64.8,30,48,11.03,MN,1685673445
82,port lincoln,-34.7333,135.8667,66.69,54,98,12.93,AU,1685673445
83,thunder bay,48.4001,-89.3168,62.58,67,40,6.91,CA,1685673205
84,cockburn town,21.4612,-71.1419,81.75,81,86,6.93,TC,1685673309
85,dubbo,-32.25,148.6167,69.93,46,90,4.61,AU,1685673446
86,susuman,62.7833,148.1667,59.58,39,84,8.97,RU,1685673447
87,escarcega,18.6089,-90.7454,78.19,76,0,5.41,MX,1685673447
88,bethel,41.3712,-73.414,67.96,76,0,3.44,US,1685673447
89,sol'tsy,58.1239,30.3238,40.68,55,100,3.62,RU,1685673448
90,hawaiian paradise park,19.5933,-154.9731,73.04,96,100,0.0,US,1685673448
91,fort mcmurray,56.7268,-111.381,67.59,63,100,6.91,CA,1685673448
92,ilulissat,69.2167,-51.1,32.02,93,100,10.36,GL,1685673448
93,pangody,65.85,74.4859,61.23,87,80,20.09,RU,1685673174
94,nadym,65.5333,72.5167,60.8,82,99,27.22,RU,1685673449
95,eleskirt,39.8033,42.6736,50.92,73,15,1.03,TR,1685673449
96,saint-philippe,-21.3585,55.7679,67.59,79,2,10.22,RE,1685673451
97,geraldton,-28.7667,114.6,63.01,63,40,13.8,AU,1685673451
98,clarion,41.2148,-79.3853,72.57,65,0,5.41,US,1685673451
99,kargasok,59.0556,80.8572,73.04,55,99,12.08,RU,1685673451
100,qarawul,37.2202,68.7804,85.93,9,0,3.2,AF,1685673452
101,altai,46.3722,96.2583,41.36,73,92,7.94,MN,1685673452
102,bairnsdale,-37.8333,147.6167,57.06,60,22,1.01,AU,1685673453
103,la ronge,55.1001,-105.2842,62.85,72,75,11.5,CA,1685673454
104,praia da vitoria,38.7333,-27.0667,64.65,88,40,6.62,PT,1685673454
105,invercargill,-46.4,168.35,47.5,77,86,19.84,NZ,1685673454
106,ribeira grande,38.5167,-28.7,66.78,83,45,10.0,PT,1685673455
107,port elizabeth,-33.918,25.5701,56.32,95,0,4.61,ZA,1685673455
108,island harbour,50.724,-1.2758,53.15,78,20,7.0,GB,1685673455
109,sandnessjoen,66.0217,12.6316,40.64,90,86,3.0,NO,1685673456
110,puerto baquerizo moreno,-0.9,-89.6,77.07,81,12,8.79,EC,1685673456
111,dudinka,69.4058,86.1778,45.63,76,93,21.54,RU,1685673456
112,lyantor,61.6195,72.1555,70.18,54,0,21.92,RU,1685673456
113,merizo village,13.2658,144.6691,84.76,85,93,14.99,GU,1685673457
114,harper,4.375,-7.7169,77.02,90,100,4.25,LR,1685673457
115,anaconda,46.1285,-112.9423,58.19,91,90,3.18,US,1685673457
116,karratha,-20.7377,116.8463,79.2,31,0,13.94,AU,1685673457
117,taber,49.8167,-112.1518,59.2,75,98,11.5,CA,1685673458
118,iqaluit,63.7506,-68.5145,28.13,80,100,13.8,CA,1685673266
119,happy valley-goose bay,53.3168,-60.3315,39.51,65,100,13.8,CA,1685673243
120,kalajoki,64.25,23.95,40.91,97,100,17.74,FI,1685673458
121,margaret river,-33.95,115.0667,58.73,69,100,8.77,AU,1685673459
122,qarah bagh,34.9402,61.7759,76.55,17,5,5.84,AF,1685673459
123,rafsanjan,30.4067,55.9939,81.34,22,0,5.75,IR,1685673459
124,wenchang,30.904,118.4887,86.09,52,3,3.89,CN,1685673460
125,n'dalatando,-9.2978,14.9116,63.97,99,57,1.32,AO,1685673460
126,saldanha,-33.0117,17.9442,53.65,69,100,14.72,ZA,1685673460
127,amungan,15.3652,119.9582,85.8,75,49,10.51,PH,1685673460
128,kingston,17.997,-76.7936,83.35,87,20,4.61,JM,1685673367
129,udachny,66.4167,112.4,64.45,25,11,14.76,RU,1685673461
130,chibougamau,49.9168,-74.3659,69.42,64,75,6.91,CA,1685673461
131,spanish springs,39.6491,-119.7074,70.3,32,0,16.11,US,1685673462
132,novovarshavka,54.1721,74.6946,78.08,29,99,9.26,RU,1685673462
133,ekibastuz,51.6667,75.3667,76.82,23,4,4.72,KZ,1685673462
134,muravlenko,63.7898,74.523,66.65,68,11,29.26,RU,1685673463
135,garuhape,-26.8177,-54.9566,62.24,94,0,2.13,AR,1685673463
136,mahaddayweyne,2.9726,45.5347,73.29,97,50,6.38,SO,1685673463
137,college,64.8569,-147.8028,50.32,72,100,3.44,US,1685673463
138,san patricio,28.017,-97.5169,81.84,80,28,9.57,US,1685673464
139,kaduy,59.2,37.15,45.21,65,19,2.82,RU,1685673464
140,olinda,-8.0089,-34.8553,78.53,83,75,6.91,BR,1685673464
141,avarua,-21.2078,-159.775,75.25,57,55,5.75,CK,1685673465
142,namdrik,5.5994,168.1028,83.89,75,80,8.3,MH,1685673465
143,rakops,-21.0167,24.3333,61.32,30,11,5.03,BW,1685673465
144,caleta de carquin,-11.0925,-77.6267,69.51,82,11,10.85,PE,1685673465
145,sidi salim,31.271,30.7867,74.28,48,70,10.25,EG,1685673466
146,daru,-9.0763,143.2092,79.79,85,64,15.68,PG,1685673466
147,grand rapids,42.9634,-85.6681,75.61,87,36,4.97,US,1685673232
148,vallegrande,-18.4897,-64.1069,49.15,96,38,3.69,BO,1685673466
149,georgetown,5.4112,100.3354,89.53,77,20,4.61,MY,1685673284
150,baynjiwayn,35.6183,45.9541,63.43,37,0,3.89,IQ,1685673467
151,thompson,55.7435,-97.8558,64.56,68,100,4.61,CA,1685673467
152,wau,7.7029,27.9953,72.75,90,92,4.03,SS,1685673468
153,saveh,35.0213,50.3566,75.7,28,0,11.56,IR,1685673468
154,st. john's,47.5649,-52.7093,45.28,96,100,6.91,CA,1685673374
155,hotan,37.0997,79.9269,73.72,25,100,13.29,CN,1685673468
156,ghadamis,30.1337,9.5007,71.37,45,95,10.29,LY,1685673469
157,posto fiscal rolim de moura,-13.0833,-62.2667,73.36,84,48,0.81,BR,1685673469
158,kodiak,57.79,-152.4072,56.71,44,0,8.05,US,1685673469
159,el calafate,-50.3408,-72.2768,37.4,82,100,3.89,AR,1685673469
160,longyearbyen,78.2186,15.6401,31.84,64,0,9.22,SJ,1685673470
161,peterhead,57.5058,-1.7981,37.8,79,1,5.57,GB,1685673231
162,arraial do cabo,-22.9661,-42.0278,70.77,82,5,12.03,BR,1685673470
163,ust-nera,64.5667,143.2,63.68,43,6,2.08,RU,1685673470
164,peniche,39.3558,-9.3811,63.1,87,22,5.55,PT,1685673471
165,callao,-12.0667,-77.15,71.89,73,0,14.97,PE,1685673471
